,fund,matched_firm,firm_confidence,cik_no_fund,form_d_fund_id,crd_no_firm,form_adv_firm_id
77,Belle Haven Agressive Muni,Belle Haven Investments,0.8944946293506888,1357140,30275,29278,
78,Manatuck Hill Navigator Offshore Fund,Mark Offshore Management,0.9579997440873141,1125624,28600,109455,
79,Carlyle Ngp Xii Coinvestment,Ngp Investment Advisor,0.9871797724816689,1746223,42956,132049,
80,Goodbody Pl Capital,Goodbody Fund Management Limited,0.7573311071907065,1296956,29640,173654,
81,Adynxx,S,0.9999999999999999,1427066,31250,108401,
82,Elephant Talk Communications,Alta Communications,0.8686749260982646,1084384,22663,162041,
83,Palmerston Credit Master Fund,Master Fund Management,0.9180853916720293,1674915,38123,313287,
84,Chenavari Multi Strategy Credit Fund,Multi Strategy Management,0.7936578490294339,1510148,32905,290253,
85,Nexeon Medsystems,S,1.0,1416172,24334,108401,
86,Aspect Ucits Funds Plc,S,1.0,1680901,38421,108401,
87,Evince Overture Proprietary Fund,Proprietary Capital,0.9583529431338232,1789576,60205,125139,14114.0
88,Wishbone Partners,Wishbone Management,0.6678784414021826,1407425,30944,283479,75715.0
89,Elnorris A Stone,S,1.0,1786843,58692,108401,
90,Golub Capital Partners ,Golden Capital Partners,0.8018509909001901,1693124,38868,133637,
91,Miura Global Partners,Miura Global Management,0.6297202960088782,1302133,29708,161017,3008.0
92,Dfn Alpha Advantage Fund,Dfn Management,0.8689616354860416,1656904,37327,285057,
93,Navimed Partners Ii,Alta Partners Ii,0.9025334926847569,1788720,60142,160348,
94,Prelude Investors Fund,Prelude Financial,0.875650135322362,1566670,34349,282158,
95,Kingsford Alpha Capture Fund,Kingsford Capital Management,0.8800405850559591,1674829,38117,161445,
96,Encore Dermatology,Investology,0.964080944560833,1643309,36848,130408,
97,Berkshire Welco,Berkshire Advisors,0.7539687134103562,1747067,43028,122389,
98,Ovid Therapeutics,S,0.9999999999999998,1636651,36567,108401,
99,Counsel Rb Capital,Capital Counsel,0.766880342312303,849145,21656,109001,789.0
100,Megha Long Short Credit Fund,Long Short Advisors,0.9516306680543248,1648020,37029,153632,6899.0
101,Health Directory,The Director,0.7683686865218787,1519177,24820,293787,
