,fund,matched_firm,firm_confidence,cik_no_fund,form_d_fund_id,crd_no_firm,form_adv_firm_id
1259,Manchester Explorer,Explorer Alternative Management,0.8247628655526075,1411524,31003,136299,
1260,Fisher Investments Institutional Group Frontier Markets Equity Fund,Adaptive Frontier Investments,0.9403238740398431,1646892,36986,167940,
1261,Solera Brewing Group,Drawing Capital Group,0.9923307389987849,1697764,39060,310326,
1262,Breakwater Chicago,Breakwater Capital,0.7493912372105861,1577013,34699,172498,
1263,Global Telecom Technology,K Global Technology,0.5993164826250827,1315255,23776,301937,
1264,Yappn,S,1.0,1511735,24787,108401,
1265,Velo Holdings,Management Holdings,0.7102143146398656,1721407,40647,154100,
1266,Hsjpn Cayman Slp,S,1.0,1789266,60162,108401,
1267,Freestone Resources,Investor Resources,0.7277817340613513,1089319,22729,128722,
1268,Sim Fund I A Series Of Good Capital Syndicates,Syndicated Capital,0.9449403484276411,1779075,51438,29037,108065.0
1269,Creative Medical Technology Holdings,Brightforge Technology Holdings,0.7671501266776903,1187953,23517,291087,
1270,Re Fund Ii A Series Of Nkm Funds,Dba Fund Of Funds Advisor,0.8919126653031207,1789683,60221,107140,
1271,Telemark Fund,Telemark Asset Management,0.8421638847639401,1268493,29404,156770,3237.0
1272,Ag Mortgage Value Participation Fund,S,0.9999999999999999,1571333,34489,108401,
1273,Midwest Methanol,Midwest Asset Management,0.840155935178949,1649304,37076,113282,
1274,Eastman Kodak,S,1.0,31235,20974,108401,
1275,Clique,Unique Wealth,0.9041324576874142,1731930,57344,312462,
1276,Alaska Pacific Energy,Alaska Advisors,0.9721720437635022,1460290,24597,309344,
1277,Fresh Healthy Vending International,Healthy Ventures Management,0.9459681060459033,1526689,24835,191513,
1278,Blue Mountain Credit Alternatives Fund,Alternative Capital Fund Management,0.8872389254040578,1547901,33846,311532,
1279,Wpengine,Wp Advisors,0.9798169387255078,1728200,41073,118268,6361.0
1280,Industrial Services Of America Fl,Financial Services Of America Advisors,0.7191099659876851,4187,25731,286251,
1281,White Deer Energy Iii,White Deer,0.8333323765631676,1726271,40952,161361,
1282,Bg Umbrella Fund Plc Bg Fund,S,1.0,1545156,33753,108401,
1283,Barfresh Food Group,Boulder Food Group,0.971107807686873,1487197,24669,174360,
1284,Breuer Premium Pet Food Company,Risk Premium Investment Management Company,0.9660621590168784,1757978,55714,173549,
1285,Kayak Investment Partners Fund,Kayak Investment Partners,0.4523176919963525,1571342,34492,166116,6239.0
1286,L Offshore Fund,Mark Offshore Management,0.8069050784585441,1442393,31509,109455,
1287,Blue Like An Orange Sustainable Capital Fund Sicav Sif Scs,Blue Like An Orange Sustainable Capital,0.6891238799674961,1746477,42981,291948,
1288,Structural Capital Investments Ii,Structural Capital Management Company Ii,0.7545877702265151,1668981,55948,284310,
1289,Flexshopper,Flexscore,0.8698544265389956,1397047,24209,166714,
1290,Verte Capital,Verterent Capital,0.5561511719043204,1706463,39673,318603,
1291,Colony Northstar,Northstar Capital,0.882119624475587,1679688,38367,283448,
1292,Flowr,Flow Financial,0.9500207567032942,1752524,43324,322842,
1293,Fiam Emerging Markets All Cap Fund,Emerging Markets Alternatives,0.8358435112687832,1559069,34156,289832,
1294,Mixhalo,Sixhydra Capital,0.9912360937826555,1780703,52321,292751,
1295,Nikols Mortgage Fund,Capital Mortgage Management,0.9978520118668008,1487021,32435,109440,
1296,Aurelius Capital International,Aurelius Capital Management,0.674261183209794,1355932,30255,157325,4256.0
1297,Lifedojo,Cojo Bay Advisors,0.9890407201288082,1637450,54556,133029,
1298,Vista Invest Fund  ,Vistra Fund Management Sa,0.9104711929069815,1762803,60112,297008,
1299,Scs Opportunities Fund,Eschaton Opportunities Fund Management,0.771875071968878,1372818,30473,285575,
1300,Cactus Ventures,Motus Ventures,0.6849398094152098,1388320,24154,283383,
1301,Iif Cayman ,Cayman Capital Management,0.8990734029689412,1749042,43149,299894,
1302,Jljh Management,Jlj Capital Management,0.8221775526366745,1671331,37914,136091,
1303,Biolectrics,S,0.9999999999999999,1718583,40466,108401,
1304,Core Vega Fund,Verge Fund,0.9320767514939647,1508620,32870,307312,
1305,Tsunami Vr,Vrd,0.9981911171874948,1691965,38818,286676,
1306,Fiam Total Endowment Fund,Global Endowment Management,0.9257961964183493,1721839,40678,157772,3806.0
1307,Multi Advisor Funds Global Equity Fund Generation Investment Management Us Llp,Generation Investment Management Us Llp,0.8752591713240835,1464036,32013,132728,
1308,State Bank Financial,State Bank Trust,0.8184021820220067,1497275,32656,134575,
1309,Lange ,Lal,0.7953987760687111,1782058,53048,117748,
1310,Blue Earth,Blue Capital,0.9186704576496326,1422109,24389,304083,
1311,Fiam Global Low Volatility Equity Fund,Global Equity Advisors,0.8914442362554962,1679614,38363,137649,
1312,Windtree Therapeutics De,S,1.0,946486,22029,108401,
1313,Bridgewater All Weather Portfolio Ii,All Weather Portfolio Management,0.7048040021959211,1543117,60032,116413,
1314,Bioheart,S,1.0,1388319,24153,108401,
1315,Ccap Fund Hfnd,S,1.0,1671838,37956,108401,
1316,Deerfield Special Situations Fund,Vep Special Situations Fund ,0.711427832022599,1354395,30237,281940,
1317,Drawbridge Special Opportunities Offshore Fund,Jes Special Opportunities Venture Fund Gp,0.8693069633444176,1461023,60009,309665,
1318,Grand Slam Capital Offshore Fund,Contrarian Capital Offshore Management,0.8824351656763968,1583545,34914,113184,
1319,Lone Spruce,Red Spruce Capital,0.7712621281496399,1061342,28132,158720,71891.0
1320,Special Situations Life Sciences Fund,Vep Special Situations Fund ,0.7289228674252012,1333549,30022,281940,
1321,Bling Capital Spv A Neutron Holdings,Sage Capital Holdings,0.9604061889968799,1767713,45320,154306,
1322,Equinox Partners,Equinox Partners Investment Management,0.6156430057549721,933897,27497,105885,3190.0
1323,Asa Tax Advantaged Relative Value Fund L P,Active Value Fund Managers,0.9505227529891028,1257006,29326,109100,
1324,Sasqua Fields Capital Partners I,Ninesquare Capital Partners,0.8466078014064871,1363201,30335,284319,
1325,Redmile Strategic Offshore Fund,Contrarian Capital Offshore Management,0.967107646327081,1472225,32189,113184,
1326,Cannabis Kinetics,Kinetics Advisers,0.8546494496094594,1531433,24855,139011,12819.0
1327,Anythingit,S,0.9999999999999999,1129048,23237,108401,
1328,Muzik,Muzinich,0.6656762817130862,1572776,34537,22998,5397.0
1329,J Caird Partners,J Partners,0.7017380300631897,1143526,28745,299886,
1330,Thermedical,The Dedicated Dollar,0.9981117314931285,1544902,33744,317383,
1331,P Multi Sector Fund Ii,Multi Fund Management,0.8538214781342346,1334595,30035,108022,
1332,Bridgewater Implementation Fund Iii,Bridgewater Financial Management,0.9747662344958802,1756019,60105,109382,
1333,Gt Emerging Markets Qp,Esemplia Emerging Markets,0.9283380423299706,1460807,31895,159125,
1334,Flyhomes,S,0.9999999999999999,1742395,55689,108401,
1335,Stonepine Capital,Stonepine Capital Management,0.45701457014800534,1370042,30426,139891,5850.0
1336,Chicago Capital Offshore Fund,Chicago Capital,0.865877040494404,1667689,37715,291624,11793.0
1337,Pinehurst Partners,Pinehurst Capital,0.6586894297728373,1166503,59575,171964,
1338,Long Term Stock Exchange,Temecula Valley Stock Exchange,0.8439114227265234,1680712,56963,310286,
1339,Genesis Emerging Markets Business Trust,Trusted Business Advisor Group,0.9234240793996347,1303308,29723,170710,
1340,Brideside,Fidere,0.8146672502517757,1616323,35940,152013,
1341,Psquared Us Feeder Fund Event Opportunity Series,Peer Street Opportunity Fund Gp,0.9146920983507238,1580600,34818,282784,
1342,Polar Capital European Forager Fund,Poplar Forest Capital,0.9266903966406622,1417836,31098,145250,297.0
1343,Data Point Capital Iii,Vista Point Capital,0.8581576266831739,1796008,72193,282813,142850.0
1344,Orbimed Global Healthcare Associates Fund,Sphera Global Healthcare,0.9175998455264756,1600226,35352,172608,
1345,Bbooth,S,1.0,1566610,24939,108401,
1346,Tecogen,Income Technologies,0.9495567377981189,1537435,24874,284678,
1347,Callbox Storage,S,0.9999999999999999,1677595,38269,108401,
1348,Goldentree Select Partners,Golden Capital Partners,0.8633720580536618,1567764,34381,133637,
1349,Metis Partners,Metis Value Partners,0.7048281110272836,1159279,28789,287962,
1350,Ghost Tree Partners,Ghost Tree Capital,0.6179683638304636,1632854,36417,167435,4266.0
1351,Arctrust Iii,Arctic Investments Iii,0.8380116687763723,1756823,43588,321191,158108.0
1352,Circle  Non Operated Working Interest Fund I,S,1.0,1620960,36084,108401,
1353,Horton Capital Partners Fund,Cadron Capital Partners Fund Manager,0.755871847754624,1567994,34388,296960,
1354,Ankap Partners,Ancap Partners,0.7726855184505359,1456617,31727,169317,
1355,Polaris Group Trust,Clarus Group,0.8527823788194112,889823,53983,310156,
1356,K Custom Solutions Hospital Sisters Fund,Ab Custom Alternative Solutions,0.9536454792000378,1532692,33478,110879,
1357,Sanderson International Value Fund,International Value Advisers,0.7619436036360004,1231844,29229,146105,3415.0
1358,Lg Security Holdings,M Holdings Securities,0.7549228739963831,1576777,34690,43285,318.0
1359,Altamira Prima Fund,Alta Fundamental Advisers,0.9429731840526567,1586320,34977,168642,501.0
1360,Zazove High Yield Convertible Securties Fund,S,1.0,1097667,28407,108401,
1361,Rothschild Technology Partners,Technology Partners,0.687543954963332,1637153,36585,160362,
1362,Beach Point Global Offshore Fund,Entrust Global Partners Offshore,0.8468327631160514,1615510,35905,108035,13354.0
1363,Ezcater,Ezcontact Holdings,0.8915747051270018,1531046,33447,297950,
1364,Somerset Global Emerging Markets Fund,Morgan Stanley Global Emerging Markets,0.7928510907986736,1419792,31130,108723,
1365,Ibs Opportunity Fund,Cobro Opportunity Fund Gp,0.7822430119729014,1542502,33672,309434,
1366,Segregated Portfolio A Of Summit Rock Strategic Fixed Income Offshore Portfolio Spc,Portfolio Strategies,0.8566610253904403,1424423,31206,104685,5602.0
1367,Zweig Dimenna Focus Fund,Zweig Dimenna Associates,0.7280123800712753,1567739,34379,161385,4395.0
1368,Special Situations Fund Iii Qp,Vep Special Situations Fund ,0.8040950246278388,1328185,29974,281940,
1369,Eurovillage,S,1.0,1740369,42340,108401,
1370,Xeris Pharmaceuticals,Leerink Pharmaceutical Investments,0.8371376979771041,1346302,30155,172514,
1371,Old Ironsides Energy Fund Iii A,Old Ironsides Energy,0.5860607014420709,1716293,40330,168670,
1372,Lumithera,Lumira Capital,0.789739102990526,1615388,35901,164152,
1373,Universal Capital Management,Universal Capital Wealth Management,0.45146603750845865,1308569,23742,300680,
1374,Generation Im Asia Fund,Green Bay Generations Fund,0.9456419242662987,1519286,33153,292620,
1375,Whipcord,Chipco Asset Management,0.9207647093735312,1763043,44130,106820,
1376,Raydiant Oximetry,S,0.9999999999999998,1737709,42063,108401,
1377,Black Maple Capital Partners,Black Maple Capital Management,0.6214113335976811,1585844,34969,168385,4673.0
1378,Ashmore Sicav In Respect Of Ashmore Sicav Indian Small Cap Equity Fund,S,0.9999999999999999,1603131,35457,108401,
1379,Ecp Ii Middletown Investment,Middleton,0.9257892431535313,1789517,60198,114371,
1380,Green Bay Ventures Growth,Gron Ventures,0.8379071946553819,1746680,42998,305564,
1381,Veriquant Fund,Atclique Fund,0.9438275024632936,1456938,31740,285995,
1382,Exp World Holdings,Management Holdings,0.8779093120760341,1495932,24706,154100,
1383,Stellaservice,Castellan,0.8736214296744266,1507534,32849,299363,103953.0
1384,Amyris,Palmyra Capital Advisors,0.9346695813637497,1365916,30368,117651,7636.0
1385,Project ,Project A,0.14804224962638604,1753683,43392,319556,
1386,Barrow Hanley Mewhinney Strauss Non Us Value Fund,S,1.0,1405365,30903,108401,
1387,Belle Core Europe Eiger Fund,Blackstone Europe Fund Management Sarl,0.9765261218379259,1786943,57290,290012,
1388,Nittany Lion Fund,Nittany Funds Management,0.7404140172523911,1305085,29741,112446,
1389,Millennium Smc,Millennium Management,0.7252316166077297,1483434,32369,158117,2882.0
1390,Woodbine Legacy Investment Partners,Legacy Investment Partners,0.688132993414591,1694387,38921,133014,
1391,Tyr Capital Partners Spc On Behalf Of Tgt Capital Arbitrage Segregated Portfolio,S,0.9999999999999999,1930639,159385,108401,
1392,Strategic Global Balanced Institutional Trust I,Global Strategic Investment Solutions,0.8395506686209304,1407091,30934,175300,62735.0
1393,Jr Guam Propco,S,1.0,1765806,44545,108401,
1394,Trexquant Onshore Fund,Trexquant Investment,0.8232226089853546,1603095,35454,170476,5436.0
1395,Research Solutions,Advanced Research Investment Solutions,0.6771446950101118,1386301,30654,169582,75114.0
1396,Cornwall Offshore,Mark Offshore Management,0.8415620835563112,1523054,33241,109455,
1397,Powerhive,Powerhouse Capital,0.8499285866220962,1600702,35367,312252,
1398,Ionic Capital International,Ionic Capital Management,0.6931602912910135,1409517,30981,156400,3282.0
1399,A Plus Fund, Fund,0.9104493183729286,1526713,33336,281914,
1400,Waveland Resource Partners V,Waveland Resources,0.5983093631932394,1750064,43200,298011,
1401,Arista Power,E Power,0.9020260175656432,1424640,24411,151779,
1402,Stichting Administratiekantoor Syncreon,S,1.0,1789282,60165,108401,
1403,Lansing Management Onshore,Lansing Management,0.734146059857275,1691909,38816,285921,20833.0
1404,Zoom Video Communications,Alta Communications,0.8481525728238366,1585521,34958,162041,
1405,Saracen Total Return Onshore Income Fund,Total Return Capital,0.9745882194225944,1539585,33611,291998,
1406,Apana,Ap Management Company,0.9057645562567775,1638724,36665,135358,
1407,Spark Community Investment,Community Investment Management,0.67405316640895,1626598,36215,174204,
1408,Beam Therapeutics,S,0.9999999999999999,1745999,42919,108401,
1409,Infinity Augmented Reality,Infinity Capital Management,0.9263035311624871,1421538,24377,151697,
1410,Old Ironsides Energy Fund Iii D,Old Ironsides Energy,0.6087796345255236,1721410,40648,168670,
1411,Gaucho Property Partners,Grandview Property Partners,0.8359181759499826,1769153,46081,299814,
1412,Standard Life Investments Global Absolute Return Strategies Onshore Feeder Fund,Absolute Return Strategies,0.8784098591432862,1475478,55452,153202,
1413,Walton Oaks Family  Tax Credit,S,0.9999999999999999,1588140,57100,108401,
1414,Idw Media Holdings,Meritage Holdings,0.8076583206200925,1463833,24605,163024,
1415,Eagle Growth Partners Ii,Eagle Growth Investors,0.712251020866621,1415629,31067,106511,12376.0
1416,Iif Erisa,Erisa Advisers,0.933991668473159,1384001,30619,170487,
1417,Libra Fossil Fuel Free Fund, Fund,0.9270804190094063,1685357,60070,281914,
1418,Mindbloom Edelweiss  A Series Of Edelweiss Fund Management,Edelweiss,0.7453403616841432,1784184,56670,309453,
1419,Gqg Partners Global Equity Fund Gqg Partners Series,Gqg Partners,0.531431933957735,1679902,38383,283720,6177.0
1420,Molyworks Materials,S,0.9999999999999999,1718223,40446,108401,
1421,Aha Innovation Development Fund,Innovation Works Development Fund Gp,0.7066990253914395,1767119,45063,162095,
1422,Aqr Delta Sapphire Fund,Sapphire Star Capital,0.9642124110460544,1458460,31795,226665,19364.0
1423,European Hedge Fund,Union Hedge Funds,0.9141988164903327,1682281,57331,317826,
1424,Shorebridge Point Select,Shorebridge Capital Management,0.8441547185739836,1729976,41214,290660,
1425,Tpg Healthcare Partners Personnel,Frontline Healthcare Partners,0.8375382621134079,1789506,60195,311770,
1426,Cowen,Cowen Advisors,0.7257686995210236,1466538,3667,135564,3667.0
1427,Atheronova,Annova,0.9467413594518884,1377053,24094,309737,
1428,Puresafe Water Systems,Iterated Systems,0.9562655875847011,764839,21353,111722,
1429,Expresscells,Mccann Express,0.9269919891804667,1780502,52208,285430,
1430,Scioto Properties,Cabot Properties,0.8129582436628802,1476307,32247,118729,
1431,American Wholesale Insurance Holding Company,Kibble Prentice Holding Company,0.9354227697462343,1177703,28960,127672,
1432,Rvue Holdings,Management Holdings,0.8819368292734985,1455206,24592,154100,
1433,Beach Point Loan Fund,Sound Beach Loan Management,0.8195041009907487,1484453,32390,143467,
1434,Hldr Fund I Ust,S,0.9999999999999999,1665102,37595,108401,
1435,Gns Hillier Global Opportunities Fund,Macquarie Global Opportunities Partners,0.8745685083974858,1542116,33667,146688,
1436,Current Asset Fund,Curry Asset Management,0.7870312336840788,1570882,34471,128671,
1437,Secureset Academy,Academy Asset Management,0.7544323935896726,1651720,37168,319774,
1438,Witty Health,Wealth Health,0.8869613090024978,1688830,38704,130951,
1439,Global Healthcare Reit,Sphera Global Healthcare,0.730940922348546,727346,21281,172608,
1440,Altair Chp Offshore Fund Ii,Mark Offshore Management,0.9692456385250071,1661062,37458,109455,
1441,Alternate Energy Holdings,Real Holdings International,0.8802723346740264,1421874,24386,298489,
1442,Greywolf Clo Credit Fund Offshore I,Greywolf Capital Management,0.9465523516513753,1543951,33704,138715,2964.0
1443,Sensanna,Vensana Capital Management,0.9971913240978891,1724404,40814,300695,
1444,Merus Nv,Nverses Capital,0.9719784299374256,1651311,37149,323291,
1445,Rainfall Ventures I,Rainfall Ventures Management,0.3867583709367933,1733412,56648,309268,
1446,Jml Opportunity Fund I,Jme Opportunity Partners,0.7268816933234391,1665913,37629,126999,
1447,Fall Line Endurance Fund,Endurance Financial,0.8212029859784699,1675025,38127,319112,
1448,Semler Scientific,Money Scientific,0.8768725537702055,1554859,24908,318613,
1449,North Fourth Fund,North Fourth Asset Management,0.724320820222546,1715330,60083,289736,12525.0
1450,Barak Impact Finance Segregated Portfolio Of Barak Fund Spc,Barak Fund Management,0.9627031961337639,1609475,35699,282917,
1451,Spanish Mountain Gold,Th Mountain,0.9683960109641632,1337090,56054,285804,
1452,Sport Endurance,Endurance Capital,0.8253760072637412,1471727,24626,112895,
1453,Finisterre Credit Partners,Mc Credit Partners,0.7801998068703473,1455999,31699,167929,
1454,Deerwood Capital Fund,Deerwood Capital,0.4899024639079469,1704069,39527,288538,111260.0
1455,River Birch International,River Birch Capital,0.7019205297836298,1521890,33214,160373,
1456,Inari Agriculture,Mad Agriculture,0.5854922857585374,1749425,43168,312755,
1457,Mcginnis Mlp Energy Fund,Energy Funders,0.9380146202429064,1681456,57761,171081,
1458,Sun Fund, Fund,0.6255799135018927,1698889,39138,281914,
1459,Juniper Targeted Opportunities,Target Global Selected Opportunities,0.8369313093958235,1680619,53869,311110,
1460,Virtual Crypto Technologies,Quantamental Technologies,0.8434151528436021,797542,21452,289551,20639.0
1461,Partners Capital Kestrel Fund Series J,Partners Capital Services,0.927281697449971,1676510,38192,127621,
1462,Argentiere Fund,Argentiere Capital,0.7687047563729253,1579654,34782,299084,
1463,Prime Movers Lab Fund I,Prime Movers Lab,0.6146167577845465,1751631,43279,299803,149869.0
1464,Life Care Medical Devices,S,1.0,1508363,24772,108401,
1465,Strawberry Fields Orndale  Opportunity Fund,Orlando Opportunity Fund Management,0.8880571339917588,1780737,52338,306458,
1466,Wellsheet,Welsh,0.6960404870301239,1716179,40323,107733,
1467,Bridgewater Implementation Fund Ii,Bridgewater Financial Management,0.9538404649121601,1756020,60106,109382,
1468,Graybul Cp Phase Ii,S,0.9999999999999999,1789474,60190,108401,
1469,Gamefish Impact Fund,Civil Impact Fund,0.8627644992897991,1532080,33467,305334,
1470,Cmb Infrastructure Investment Group ,Cbre Investment Management Infrastructure,0.7706935513373756,1745897,42905,158495,
1471,Cytosorbents,S,1.0,1175151,23491,108401,
1472,Ashmore Sicav In Respect Of Ashmore Sicav Emerging Markets Corporate Debt Fund,S,1.0000000000000002,1582459,34890,108401,
1473,Highbridge Capital Institutional Fund,Highbridge Capital Management,0.7472429974991956,1517923,33117,134776,746.0
1474,North Maxq Macro Fund,S,1.0,1585637,34962,108401,
1475,Dw Value Offshore Fund,Mark Offshore Management,0.9279229519011439,1544985,33749,109455,
1476,Numerai,Numerai,1.4901161193847656e-08,1668527,55005,282851,
1477,Maverick Fundamental Quant Neutral Fund,Fundamental Managers,0.9136896861213517,1693857,38900,281368,
1478,Eyegate Pharmaceuticals,Leerink Pharmaceutical Investments,0.9388603572421595,1372514,30466,172514,
1479,Polestar Fund,Polestar Capital,0.8102870353886678,1219563,29163,142864,82345.0
1480,Flybird,Earlybird Central,0.8609658191434003,1767264,45116,307201,78885.0
1481,Kaszek Ventures Opportunity I,Cannon Venture Opportunities,0.8685171148780023,1785791,57387,305350,
1482,Lifemark Reinsurance,Mony Life Insurance,0.9262609401071527,1730395,57343,107713,10153.0
1483,Cf Star Multifamily Portfolio Dst,St Portfolio,0.990536304965061,1739490,42244,134901,
1484,Zca Long Short Strategy,Long Short Advisors,0.9626626752949988,1517233,33088,153632,6899.0
1485,Caz Partners Fund,Invisionaz Fund,0.8353215571841359,1462173,31977,317059,
1486,Iterum Therapeutics,S,1.0,1659323,37410,108401,
1487,Positiveid,Money Positive,0.8624809254385627,1347022,23912,218518,
1488,Folloze,Bozeman,0.8728512909604734,1594569,35176,164813,
1489,Emerging Markets Alpha Advantage Fund,Emerging Markets Alternatives,0.8499041384789607,1460549,31884,289832,
1490,Qpagos,Qplum,0.9601996644980054,1591913,25012,175479,
1491,Undiscovered Value Fund,Undiscovered Managers,0.7517689694486926,1605509,35548,109067,7175.0
1492,Virtus Oil Gas,Dale Oil Gas Partners,0.8055058154472448,1478725,24648,162289,
1493,Md Sass Government Agency Portable Alpha,S,0.9999999999999999,1789624,60212,108401,
1494,Community Technology,Ii Technology,0.7698942006549395,1747016,43026,282760,
1495,Pandora Media,Media Wealth,0.9217150096578288,1230276,29224,308446,
1496,Vellohealth,Cohalo,0.9955380925532399,1875488,120733,297315,
1497,Nemametrix,Alphametrix,0.9081161447127515,1651873,37172,151372,
1498,Incoming,Net Income,0.9437639257249792,1423325,24402,282066,
1499,Idaho First Bank,S,1.0,1530739,33433,108401,
1500,Global Long Short Fund Qp,Malkin Long Short I Q,0.97624294911309,1413454,31036,137294,
1501,Gillson Capital Onshore Fund,Gillson Capital,0.8265282937487605,1679793,38378,284079,6146.0
1502,Stone Forest Emerging Markets Hedge Fund,Emerging Markets Investors Corporation,0.9447383440322444,1649003,54183,104821,8031.0
1503,Mastec,Recast Capital,0.9688489397234901,15615,25788,319767,
1504,Church Loans Investments Trust,Church Investment Group,0.8989916343389884,20199,20954,169910,
1505,Apto,Aptos Capital,0.6758077090034295,1615078,35893,281218,
1506,Sei Core Property Fund,Cove Property Group,0.9149653834751014,1504960,32804,282709,
1507,Sfc Foresta Fund,Sfc Financial,0.8183060553114903,1649341,54185,129817,
1508,Deako,Breakout Management,0.9468911160915533,1658490,37385,286227,
1509,Hoth Therapeutics,S,0.9999999999999998,1711786,56082,108401,
1510,Graide Network,Financial Network,0.7595737933407598,1674352,57108,110229,
1511,Sonomotion,Innomod Solutions,0.8740128608339823,1680126,38397,164239,
1512,Greywolf Capital Overseas Fund,Greywolf Capital Management,0.7684199138634674,1272848,29437,138715,2964.0
1513,Forester Offshore,Mark Offshore Management,0.7622999034324371,1302998,29719,109455,
1514,Ccap Fund Ge,Ccs Funds,0.9272973165993953,1671794,37952,163761,
1515,Endeavour Capital Partners,Endeavour Capital,0.5296797627232908,924821,27424,160800,
1516,Shale Energy Group,Fe Clean Energy Group,0.7159674427732006,1659602,37419,159582,
1517,Maze Focus Fund,Focus Fund Advisors,0.8144181437257473,1612081,35800,319551,
1518,Goformz,S,1.0,1612085,35801,108401,
1519,Senior Housing Partners Vi,Stone House Partners,0.9481602244618764,1750045,43198,167094,6070.0
1520,Serimmune,Communitas Capital Partners,0.9994870207199599,1693808,38898,318772,
1521,Gordian Capital Strategies,Capital Strategies,0.6556280986719588,1553412,34013,125597,
1522,Dw Value Onshore Fund,Value Fund Advisors,0.9669982910169067,1544984,33748,129654,
1523,Sqm Frontier Africa Fund Offshore,Sqm Frontier Management,0.9067447727212609,1493147,32566,156763,
1524,Gardner Lewis Merger Arbitrage Ex Fund,Gardner Lewis Asset Management,0.8823661182297642,1690504,56970,105033,690.0
1525,Precog Capital Partners,Recon Capital Partners,0.7327553432836025,1544732,33729,138623,
1526,Cardiff Lexington,Lexington Capital,0.7910569075305696,811222,21508,287930,
1527,Mya Health,Wealth Health,0.9203337906776441,1694514,38927,130951,
1528,Tekmodo Industries, Industries,0.8741973085419321,1687111,38638,323356,
1529,Medifirst Solutions,Prolific Solutions,0.7986101434558046,1522704,24832,322770,
1530,Inverdale Strategic Fund,Strategic Investment Fund,0.6752308805487456,1691627,38812,226595,
1531,South Georgia Partners,Georgia Wealth Partners,0.6069215190604104,1494929,32613,314602,
1532, S Stream, Street,0.9426319579565314,1770716,46933,173291,
1533,Burnalong,Burns Capital,0.8939905014388897,1672980,38027,319673,
1534,Qumulo,Camulos Capital,0.9906806872751841,1546162,33798,140246,
1535,Mind Solutions,Managed Solutions,0.6484108153533826,1136711,23282,115176,
1536,Atlas Point Global Long Short Fund,Portland Global Advisors,0.9510589460655058,1476335,32249,109127,4007.0
1537,Tomis,S,1.0,1730740,41297,108401,
1538,Chilton Qp European Partners,Clarion Partners Europe Limited,0.9783676494594007,1084537,28298,322449,
1539,Jetstream Global Ii,Jes Global Capital Gp Ii,0.8274615159078987,1678780,38316,286203,
1540,New Millennium Fundamental Hedged Equity,New Millennium Asset Management,0.9130734736669973,1342577,30128,143465,
1541,Smartsky Networks,Financial Network,0.9176079163503879,1553431,34015,110229,
1542,Cade Opportunity Fund,Cobro Opportunity Fund Gp,0.6931878569426091,1562814,34263,309434,
1543,Epam Systems,Systems Financial,0.8908464646830189,1352010,30212,284744,
1544,Wisdom Homes Of America,Wisdom Investments,0.9327149774608231,1281198,23635,123197,
1545,Theleme Fund,The Future Fund,0.7481117913969677,1482967,32360,313973,147423.0
1546,Liberty Source Pbc,Liberty Group,0.9724451907568584,1664883,37584,114110,
1547,Brant Point Fund,Brant Point Investment Management,0.828788551563733,1221487,29177,157572,2587.0
1548,Gam Institutional Diversity,Institutional Capital,0.8874725924604118,1375819,30514,107149,700.0
1549,Revere High Yield Fund,Life Yield Advisor,0.9638850373445444,1568309,34395,201511,
1550,Campbell Absolute Return Onshore Fund,Absolute Return Capital,0.8703109883961261,1372465,30464,145647,4089.0
1551,Unity Management Group,Unity Management,0.6019099160600114,1064624,22438,105338,7208.0
1552,Brevan Howard Asia Fund,Brevan Howard Capital Management,0.7591830535757977,1402821,30859,161292,174.0
1553,Profire Energy,Retirement Energy,0.8140356873510177,1289636,23668,297081,
1554,Clean Diesel Technologies,Florian Technologies,0.7447990661100572,949428,22041,308355,
1555,Oceangate,Oceans Management,0.934507332276255,1559118,34159,323086,
1556,Almitas Opportunity Fund,Fimi Opportunity ,0.7340885671888591,1595361,35203,283196,
1557,Valar Velocity Fund ,Velocity Partners,0.9489530702525154,1764208,44257,164033,
1558,Cyrus Opportunities Fund Ii,Eschaton Opportunities Fund Management,0.8498372316522237,1436816,31408,285575,
1559,Galium Pga Blvd,S,1.0,1781165,56666,108401,
1560,Healy Circle Partners,Great Circle Partners,0.6192696586800815,1695035,38943,136682,
1561,Givbux Global Partners,Global Capital Partners,0.9483926294300038,1768008,45465,124056,
1562,Pine River Liquid Rates Fund,Liquid Realty,0.9305129474811507,1539881,33621,170554,
1563,Lume Alpha,Alpha,0.7340483385796647,1660666,37441,313285,
1564,Abiquo Group,S,1.0,1507278,54830,108401,
1565,Peabody Energy,Peabody Management,0.7809248669777841,1064728,28154,121471,
1566,Ecm Feeder Fund ,Jcm Fund Manager,0.9569953830286202,1570005,53849,173656,
1567,Nido Surgical,Surgical Frontiers,0.9683743977766643,1656827,37324,172853,
1568,Market Advantage,Dynamic Market Advantage,0.8100922106211992,1497585,32659,323540,
1569,Dune Sciences,Investment Sciences,0.8943409700935896,1463744,32006,127993,
1570,Cm Technologies,Income Technologies,0.6551430091610715,1702873,39435,284678,
1571,Eyechronic,S,1.0,1692316,38827,108401,
1572,Acadian All Country World Managed Volatility Equity Fund,Pr Equity Fund Management,0.8947647733365797,1695856,60078,317652,
1573,Keystone Real Estate Lending Fund,Greystone Bridge Lending Fund Manager,0.8330481232685786,1652829,37201,284589,
