matched_firm_name,firm_name,cik_no,crd_no,related_partner,matched_owner_name,matched_firmowners_confidence,formd_funds
Symphony Asset Management,Symphony Asset Management,1030815,110687.0,Nuveen Investments Holdings Inc,Nuveen Investments Holdings,0.3036336220620995,Symphony Asset Management
Symphony Asset Management,Symphony Asset Management,1030815,110687.0,Nuveen Investments Holdings Inc,Nuveen Investments Holdings,0.3036336220620995,Symphony Asset Management
Symphony Asset Management,Symphony Asset Management,1030815,110687.0,Nuveen Investments Holdings Inc,Nuveen Investments Holdings,0.3036336220620995,Symphony Asset Management
Symphony Asset Management,Symphony Asset Management,1030815,110687.0,Nuveen Investments Holdings Inc,Nuveen Investments Holdings,0.3036336220620995,Symphony Asset Management
Symphony Asset Management,Symphony Asset Management,1030815,110687.0,Angela Mckillen,Mckillen Angela Marie,0.4764795189177214,Symphony Asset Management
Symphony Asset Management,Symphony Asset Management,1030815,110687.0,Angela Mckillen,Mckillen Angela Marie,0.4764795189177214,Symphony Asset Management
Symphony Asset Management,Symphony Asset Management,1030815,110687.0,Angela Mckillen,Mckillen Angela Marie,0.4764795189177214,Symphony Asset Management
Symphony Asset Management,Symphony Asset Management,1030815,110687.0,Angela Mckillen,Mckillen Angela Marie,0.4764795189177214,Symphony Asset Management
Symphony Asset Management,Symphony Asset Management,1030815,110687.0,Angela Mckillen,Mckillen Angela Marie,0.4764795189177214,Symphony Asset Management
Symphony Asset Management,Symphony Asset Management,1030815,110687.0,Angela Mckillen,Mckillen Angela Marie,0.4764795189177214,Symphony Asset Management
Symphony Asset Management,Symphony Asset Management,1030815,110687.0,Angela Mckillen,Mckillen Angela Marie,0.4764795189177214,Symphony Asset Management
Symphony Asset Management,Symphony Asset Management,1030815,110687.0,Judith Macdonald,Macdonald Judith R,0.3506257981238139,Symphony Asset Management
Symphony Asset Management,Symphony Asset Management,1030815,110687.0,Judith Macdonald,Macdonald Judith R,0.3506257981238139,Symphony Asset Management
Symphony Asset Management,Symphony Asset Management,1030815,110687.0,Judith Macdonald,Macdonald Judith R,0.3506257981238139,Symphony Asset Management
Symphony Asset Management,Symphony Asset Management,1030815,110687.0,Judith Macdonald,Macdonald Judith R,0.3506257981238139,Symphony Asset Management
Symphony Asset Management,Symphony Asset Management,1030815,110687.0,Judith Macdonald,Macdonald Judith R,0.3506257981238139,Symphony Asset Management
Symphony Asset Management,Symphony Asset Management,1030815,110687.0,Judith Macdonald,Macdonald Judith R,0.3506257981238139,Symphony Asset Management
Symphony Asset Management,Symphony Asset Management,1030815,110687.0,Judith Macdonald,Macdonald Judith R,0.3506257981238139,Symphony Asset Management
Symphony Asset Management,Symphony Asset Management,1030815,110687.0,Gunther Stein,Stein Gunther Maurice,0.7097472915398532,Symphony Asset Management
Symphony Asset Management,Symphony Asset Management,1030815,110687.0,Gunther Stein,Stein Gunther Maurice,0.7097472915398532,Symphony Asset Management
Symphony Asset Management,Symphony Asset Management,1030815,110687.0,Gunther Stein,Stein Gunther Maurice,0.7097472915398532,Symphony Asset Management
Symphony Asset Management,Symphony Asset Management,1030815,110687.0,Gunther Stein,Stein Gunther Maurice,0.7097472915398532,Symphony Asset Management
Symphony Asset Management,Symphony Asset Management,1030815,110687.0,Gunther Stein,Stein Gunther Maurice,0.7097472915398532,Symphony Asset Management
Symphony Asset Management,Symphony Asset Management,1030815,110687.0,Gunther Stein,Stein Gunther Maurice,0.7097472915398532,Symphony Asset Management
Symphony Asset Management,Symphony Asset Management,1030815,110687.0,Gunther Stein,Stein Gunther Maurice,0.7097472915398532,Symphony Asset Management
Prism Funds,Prism Amber Fund Lp,1486375,147911.0,Richard Simkus,Simkus Richard Victor,1.4556734622508796,Prism Amber Fund Lp
Prism Funds,Prism Amber Fund Lp,1486375,147911.0,Richard Simkus,Simkus Richard Victor,1.4556734622508796,Prism Amber Fund Lp
Prism Funds,Prism Jade Fund Lp,1486371,147911.0,Richard Simkus,Simkus Richard Victor,1.4574512507931283,Prism Jade Fund Lp
Dialectic Capital Management Lp,Dialectic Antithesis Partners Lp,1325552,317039.0,John Fichthorn,Fichthorn John Aaron,1.5386824374687622,Dialectic Antithesis Partners Lp
Boston Common Asset Management,Boston Common International Social Fund,1365067,123558.0,Steven Heim,Heim Steven F,1.4594380140538503,Boston Common International Social Fund
Boston Common Asset Management,Boston Common International Social Fund,1365067,123558.0,Steven Heim,Heim Steven F,1.4594380140538503,Boston Common International Social Fund
Boston Common Asset Management,Boston Common International Social Fund,1365067,123558.0,Nancy Spady,Spady Nancy Grossman,1.5611429391987546,Boston Common International Social Fund
Boston Common Asset Management,Boston Common International Social Fund,1365067,123558.0,Nancy Spady,Spady Nancy Grossman,1.5611429391987546,Boston Common International Social Fund
Boston Common Asset Management,Boston Common International Social Fund,1365067,123558.0,Matthew Zalosh,Zalosh Matthew Adam,1.5585230510764991,Boston Common International Social Fund
Boston Common Asset Management,Boston Common International Social Fund,1365067,123558.0,Matthew Zalosh,Zalosh Matthew Adam,1.5585230510764991,Boston Common International Social Fund
Boston Common Asset Management,Boston Common International Social Fund,1365067,123558.0,Geeta Aiyer,Aiyer Geeta Bhide,1.5436734351469317,Boston Common International Social Fund
Boston Common Asset Management,Boston Common International Social Fund,1365067,123558.0,Geeta Aiyer,Aiyer Geeta Bhide,1.5436734351469317,Boston Common International Social Fund
Goldman Sachs Co,Goldman Sachs Group Inc,886982,361.0,Gregory Palm,Palm Gregory Kenneth,1.3029077351555332,Goldman Sachs Group
Enervest Investment Services,Enviro Serve Inc,1062720,297181.0,Michal Handerhan,Vanderhider James Michael,1.8283466411809128,Enviro Serve Inc
B Riley Capital Management,B Riley Financial Inc,1464790,160510.0,Phillip Ahn,Ahn Phillip J,1.1429889911528288,Great American Group Inc
B Riley Capital Management,B Riley Financial Inc,1464790,160510.0,Phillip Ahn,Ahn Phillip J,1.1429889911528288,Great American Group Inc
B Riley Capital Management,B Riley Financial Inc,1464790,160510.0,Phillip Ahn,Ahn Phillip J,1.1429889911528288,B Riley Financial Inc
B Riley Capital Management,B Riley Financial Inc,1464790,160510.0,Phillip Ahn,Ahn Phillip J,1.1429889911528288,Great American Group Inc
John Hancock Investment Management,John Hancock Collateral Investment Trust,1465214,105790.0,Charles Rizzo,Rizzo Charles Arthur,1.3637751554790762,John Hancock Collateral Investment Trust
John Hancock Investment Management,John Hancock Collateral Investment Trust,1465214,105790.0,Charles Rizzo,Rizzo Charles Arthur,1.3637751554790762,John Hancock Collateral Investment Trust
John Hancock Investment Management,John Hancock Collateral Investment Trust,1465214,105790.0,Charles Rizzo,Rizzo Charles Arthur,1.3637751554790762,John Hancock Collateral Investment Trust
John Hancock Investment Management,John Hancock Collateral Investment Trust,1465214,105790.0,Edward Macdonald,Macdonald Edward Paul,1.2382442199239687,John Hancock Collateral Investment Trust
John Hancock Investment Management,John Hancock Collateral Investment Trust,1465214,105790.0,Edward Macdonald,Macdonald Edward Paul,1.2382442199239687,John Hancock Collateral Investment Trust
John Hancock Investment Management,John Hancock Collateral Investment Trust,1465214,105790.0,Edward Macdonald,Macdonald Edward Paul,1.2382442199239687,John Hancock Collateral Investment Trust
Sustainable Insight Capital Management,Sustainable Insight Capital Management Llc,1580677,166616.0,Mark Corrao,Cork,1.423915160230349,Sustainable Insight Capital Management
Sustainable Insight Capital Management,Sustainable Insight Capital Management Llc,1580677,166616.0,Robert Manilla,Manilla Robert,1.0077828309297914,Sustainable Insight Capital Management
Nwq Investment Management Company,Nwq Investment Management Company,763848,121876.0,Nuveen Nwq Holdings,Nwq Partners,0.8806208342461648,Nwq Investment Management Co
Nwq Investment Management Company,Nwq Investment Management Company,763848,121876.0,Nuveen Nwq Holdings,Nwq Partners,0.8806208342461648,Nwq Investment Management Co
Nwq Investment Management Company,Nwq Investment Management Company,763848,121876.0,Nuveen Nwq Holdings,Nwq Partners,0.8806208342461648,Nwq Investment Management Company
Nwq Investment Management Company,Nwq Investment Management Company,763848,121876.0,Nuveen Nwq Holdings,Nwq Partners,0.8806208342461648,Nwq Investment Management Company
Nwq Investment Management Company,Nwq Investment Management Company,763848,121876.0,Jon Bosse,Bosse Jon Daniel,0.7766918713527751,Nwq Investment Management Co
